Timestamp,Wallet_Address,Rating_Out_Of_5,Platform,Feedback_Note
2026-08-01T09:15:32Z,GBXGQBRDVAMRCDWUS4YVOGUTQJ6CWSE4TRUHYEQBGZ2O2IBP6TVDA22D,5,Web,"The multi-tier selector made it effortless to test Basic vs Pro continuous streams."
2026-08-01T14:22:18Z,GCSW67M4WXZL62T7OEZ47IWYHYYDYVRU23N3Z5IELM6US3DXH4Q7U37P,5,Chrome Extension,"Freighter wallet pop-up approval was instantaneous with zero signing latency on testnet."
2026-08-02T08:44:05Z,GD2KPYV7W64C56X5OOHXN6QJDFPQK67M7R5HAYB4V4H76WDF43B2K6LR,4,Mobile Safari,"Clean responsive layout on iOS Safari. Would love to see an automated push notification when interval executes."
2026-08-02T16:30:41Z,GAJ7ZEYW46522EVDJ7NXY5YF2H6E6P36X462K6O7XG4O2X4Y6H3E6C7D,5,Android,"Tested via Android webview with Freighter; the time-locked interval authorization completed in 3 seconds."
2026-08-03T10:12:59Z,GBN72XZY3C564V6B7N8M2K3J4H5G6F7D8S9A2Q3W4E5R6T7Y8U9I2O3P,5,Web,"Zero custody design gives total peace of mind since assets never leave my wallet until the interval timestamp."
2026-08-03T13:45:10Z,GCV45N6M7K8J9H2G3F4D5S6A7Q8W9E2R3T4Y5U6I7O8P2A3S4D5F6G7H,5,Chrome Extension,"The real-time payment history stream provides complete auditability for recurring SaaS payments."
2026-08-03T19:08:23Z,GDM67K8J9H2G3F4D5S6A7Q8W9E2R3T4Y5U6I7O8P2A3S4D5F6G7H8J9K,4,Web,"Excellent execution speed on Soroban. Suggested adding a CSV export button for merchant billing summaries."
2026-08-04T07:55:40Z,GAE23R4T5Y6U7I8O9P2A3S4D5F6G7H8J9K2L3Z4X5C6V7B8N9M2Q3W4E,5,Android,"Seamless subscription activation on mobile. Extremely intuitive tier card selector."
2026-08-04T11:20:15Z,GBF34T5Y6U7I8O9P2A3S4D5F6G7H8J9K2L3Z4X5C6V7B8N9M2Q3W4E5R,5,Web,"One-click subscription cancellation verified on-chain via Soroban events. Very reassuring security model."
2026-08-04T17:42:01Z,GCG45Y6U7I8O9P2A3S4D5F6G7H8J9K2L3Z4X5C6V7B8N9M2Q3W4E5R6T,5,Chrome Extension,"Gas fees under 0.0001 XLM make high-frequency streaming viable compared to EVM alternatives."
